Consumption,Gross capital formation (constant LCU),GDP (constant LCU),Year,Consumption,Gross capital formation (constant LCU),GDP (constant LCU)
6.42E+12,1.13E+12,7.37E+12,1960,29.49043923,27.75323875,29.62843882
6.55E+12,1.12E+12,7.64E+12,1961,29.51048617,27.7443498,29.66441872
6.72E+12,1.27E+12,7.87E+12,1962,29.53610927,27.87003802,29.69407918
7.07E+12,1.37E+12,8.34E+12,1963,29.5868816,27.94583186,29.75208433
7.48E+12,1.51E+12,8.96E+12,1964,29.64325391,28.04313077,29.82379134
7.55E+12,1.67E+12,8.73E+12,1965,29.65256868,28.14384474,29.79778649
7.65E+12,1.75E+12,8.73E+12,1966,29.66572676,28.1906369,29.79778649
8.06E+12,1.68E+12,8.73E+12,1967,29.71793467,28.14981491,29.79778649
8.29E+12,1.64E+12,8.73E+12,1968,29.74607109,28.12571736,29.79778649
8.65E+12,1.82E+12,8.73E+12,1969,29.78858044,28.22985762,29.79778649
8.99E+12,1.82E+12,1.09E+13,1970,29.82713396,28.22985762,30.01978391
9.24E+12,1.97E+12,1.11E+13,1971,29.854563,28.30905466,30.03796622
9.31E+12,1.88E+12,1.10E+13,1972,29.86211021,28.26229289,30.02891639
9.51E+12,2.25E+12,1.14E+13,1973,29.88336499,28.44195133,30.06463447
9.46E+12,2.13E+12,1.15E+13,1974,29.8780935,28.3871431,30.07336815
1.00E+13,1.92E+12,1.26E+13,1975,29.93360621,28.2833463,30.16471793
1.03E+13,2.27E+12,1.28E+13,1976,29.96316501,28.45080095,30.18046629
1.11E+13,2.64E+12,1.37E+13,1977,30.03796622,28.60180003,30.24841695
1.18E+13,3.15E+12,1.45E+13,1978,30.09912065,28.77842357,30.30516977
1.16E+13,2.78E+12,1.37E+13,1979,30.08202621,28.65347204,30.24841695
1.26E+13,3.02E+12,1.46E+13,1980,30.16471793,28.73627795,30.31204264
1.32E+13,2.85E+12,1.55E+13,1981,30.21123795,28.67834011,30.37186114
1.34E+13,2.94E+12,1.61E+13,1982,30.22627582,28.7094307,30.40984039
1.44E+13,3.14E+12,1.72E+13,1983,30.29824932,28.77524392,30.4759305
1.49E+13,3.30E+12,1.79E+13,1984,30.33238233,28.82494358,30.51582183
1.56E+13,3.56E+12,1.88E+13,1985,30.37829203,28.90078166,30.56487799
1.63E+13,3.69E+12,1.97E+13,1986,30.42218622,28.93664757,30.61163975
1.69E+13,4.17E+12,2.05E+13,1987,30.45833474,29.05893715,30.651446
1.80E+13,4.68E+12,2.25E+13,1988,30.52139287,29.17431923,30.74453643
1.89E+13,5.06E+12,2.38E+13,1989,30.57018304,29.2523876,30.8007067
1.97E+13,6.01E+12,2.51E+13,1990,30.61163975,29.42444586,30.85388896
2.00E+13,5.02E+12,2.54E+13,1991,30.62675339,29.24445105,30.86577029
2.06E+13,5.67E+12,2.68E+13,1992,30.65631219,29.36621023,30.919423
2.15E+13,5.80E+12,2.81E+13,1993,30.69907405,29.38887903,30.96679069
2.25E+13,6.93E+12,2.99E+13,1994,30.74453643,29.56688093,31.0288796
2.39E+13,7.47E+12,3.22E+13,1995,30.80489957,29.64191612,31.10298757
2.56E+13,7.53E+12,3.46E+13,1996,30.87361347,29.64991616,31.1748748
2.67E+13,8.65E+12,3.61E+13,1997,30.91568468,29.78858044,31.21731398
2.87E+13,8.98E+12,3.83E+13,1998,30.98791824,29.826021,31.27647101
3.07E+13,1.06E+13,4.17E+13,1999,31.05528377,29.99187512,31.36152224
3.16E+13,9.98E+12,4.33E+13,2000,31.08417824,29.93160421,31.39917375
3.33E+13,1.04E+13,4.54E+13,2001,31.13657851,29.97282692,31.44653322
3.41E+13,1.12E+13,4.71E+13,2002,31.1603185,30.04693489,31.48329412
3.60E+13,1.30E+13,5.08E+13,2003,31.21454005,30.19597047,31.55891747
3.78E+13,1.69E+13,5.48E+13,2004,31.26333022,30.45833474,31.63471131
4.07E+13,1.96E+13,5.91E+13,2005,31.33724921,30.60655068,31.71025204
4.26E+13,2.22E+13,6.39E+13,2006,31.38287537,30.7311134,31.78834048
4.58E+13,2.62E+13,6.88E+13,2007,31.45530521,30.89678053,31.86222486
4.84E+13,2.49E+13,7.09E+13,2008,31.51052093,30.84588892,31.89229155
5.15E+13,2.92E+13,7.65E+13,2009,31.57260292,31.00518983,31.96831186
5.48E+13,3.33E+13,8.30E+13,2010,31.63471131,31.13657851,32.04986172
5.88E+13,3.46E+13,8.74E+13,2011,31.70516297,31.1748748,32.1015164
6.15E+13,3.61E+13,9.21E+13,2012,31.75005829,31.21731398,32.15389606
6.54E+13,3.47E+13,9.80E+13,2013,31.81154337,31.1777608,32.21598859
6.97E+13,3.74E+13,1.05E+14,2014,31.87522143,31.25269182,32.28498147
7.51E+13,3.92E+13,1.14E+14,2015,31.94984167,31.29969786,32.36721956
8.10E+13,4.06E+13,1.23E+14,2016,32.02547027,31.33478918,32.44320547
8.68E+13,4.50E+13,1.31E+14,2017,32.09462774,31.43768361,32.50621844
9.29E+13,4.99E+13,1.40E+14,2018,32.16254476,31.54104212,32.57266354
9.74E+13,4.88E+13,1.45E+14,2019,32.20984733,31.51875143,32.60775486
